umbral de decición,precisión,sensibilidad
0.2,0.39228303585907554,0.9437384310177385
0.3,0.426458003589631,0.934856772886871
0.4,0.47774410961480107,0.9278759556083106
0.45,0.49738656162411937,0.9265312559660671
0.5,0.5372561328954993,0.9234849302333303
0.55,0.5390245115099687,0.8999028828036157
0.6,0.529605433443424,0.8492027259219909
0.65,0.4957100750587702,0.6896317017090966
0.7,0.5058854532677443,0.6214421488632308
0.75,0.5778411663497238,0.5296705485876504
0.8,0.8383890621717278,0.43061100827571325
0.85,0.9616424392838149,0.36022179243481944
