umbral de decición,presición,sensibilidad
0.2,0.40242599370249804,0.9409826268126468
0.3,0.4259243139317925,0.9341429199903712
0.4,0.47522555080313944,0.9277929494575547
0.45,0.4888783761290266,0.926415047355009
0.5,0.5369967119398589,0.9231861080906095
0.55,0.5377512059378438,0.8966656429241406
0.6,0.5291251303819868,0.8463639155661434
0.65,0.4948735761597336,0.6859047255401626
0.7,0.5028443406730594,0.6185286329717032
0.75,0.5773843466297373,0.5294962356710632
0.8,0.8440864593683319,0.4301461738314809
0.85,0.9632401936830882,0.3599727739825521
